id,type,question,answer,doc_ids,page,evidence,note
R28,calc,贵州茅台2023年营业总收入（含利息收入等）是多少亿元？,1505.60亿元,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,"150,560,330,316.45",茅台2023年报 合并利润表 营业总收入
R29,table,贵州茅台2023年直销模式的毛利率是多少？,95.46%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,95.46,茅台2023年报 主营业务分销售模式
R30,table,贵州茅台2023年批发代理模式的毛利率是多少？,89.29%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,89.29,茅台2023年报 主营业务分销售模式
R31,table,贵州茅台2023年主营业务分地区中，国内和国外哪个毛利率更高，毛利率是多少？,国外，92.18%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,92.18,茅台2023年报 主营业务分地区
R32,table,贵州茅台2023年其他系列酒的毛利率是多少？,79.76%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,79.76,茅台2023年报 主营业务分产品
R33,fact,贵州茅台2023年度报告中，前十名股东中持股比例最高的是谁，持股多少？,中国贵州茅台酒厂（集团）有限责任公司，54.07%,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,54.07,茅台2023年报 前十名股东
R34,fact,贵州茅台2023年度报告的控股股东名称是什么？,中国贵州茅台酒厂（集团）有限责任公司,600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,中国贵州茅台酒厂（集团）有限责任公司,茅台2023年报 释义/股东
R35,fact,贵州茅台2022年归属于上市公司股东的净利润是多少亿元？,627.16亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,"62,716,443,738.27",茅台2022年报 主要会计数据
R36,fact,贵州茅台2022年经营活动产生的现金流量净额是多少亿元？,366.99亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,"36,698,595,830.03",茅台2022年报 主要会计数据
R37,fact,贵州茅台2022年末的总资产是多少亿元？,2543.65亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,"254,364,804,995.25",茅台2022年报 主要会计数据
R38,fact,贵州茅台2022年的基本每股收益是多少元？,49.93元/股,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,49.93,茅台2022年报 主要财务指标
R39,fact,贵州茅台2022年的加权平均净资产收益率是多少？,30.26%,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,30.26,茅台2022年报 主要财务指标
R40,compare,贵州茅台2022年营业收入比上年同期增长了多少？,增长16.87%,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,16.87,茅台2022年报 主要会计数据
R41,compare,贵州茅台2022年归属于上市公司股东的净利润比上年同期增长了多少？,增长19.55%,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告,,19.55,茅台2022年报 主要会计数据
R42,fact,平安银行2023年末的拨备覆盖率是多少？,277.63%,000001/ndbg/000001_2024-03-15_2023年年度报告,,277.63%,平安2023年报 主要会计数据
R43,fact,平安银行2023年的净息差是多少？,2.38%,000001/ndbg/000001_2024-03-15_2023年年度报告,,2.38%,平安2023年报 主要会计数据
R44,fact,平安银行2023年的成本收入比是多少？,27.90%,000001/ndbg/000001_2024-03-15_2023年年度报告,,27.90%,平安2023年报 主要会计数据
R45,fact,平安银行2023年末的资本充足率是多少？,13.43%,000001/ndbg/000001_2024-03-15_2023年年度报告,,13.43%,平安2023年报 主要会计数据
R46,fact,平安银行2023年末归属于本行普通股股东的每股净资产是多少？,20.74元/股,000001/ndbg/000001_2024-03-15_2023年年度报告,,20.74,平安2023年报 主要会计数据
R47,fact,平安银行2023年的非利息净收入占比是多少？,28.36%,000001/ndbg/000001_2024-03-15_2023年年度报告,,28.36%,平安2023年报 主要会计数据
R48,fact,平安银行2023年扣除非经常性损益后归属于本行股东的净利润是多少亿元？,464.31亿元,000001/ndbg/000001_2024-03-15_2023年年度报告,,"46,431",平安2023年报 主要会计数据
R49,compare,平安银行2023年归属于本行股东的净利润比上年同期增减了多少？,增长2.1%,000001/ndbg/000001_2024-03-15_2023年年度报告,,2.1%,平安2023年报 主要会计数据
R50,compare,平安银行2023年末的不良贷款率比上年末增减了多少个百分点？,上升0.01个百分点（1.06% vs 1.05%）,000001/ndbg/000001_2024-03-15_2023年年度报告,,1.06%,平安2023年报 主要会计数据
R51,fact,平安银行2022年的营业收入是多少亿元？,1798.95亿元,000001/ndbg/000001_2023-03-09_2022年年度报告,,"179,895",平安2022年报 主要会计数据
R52,fact,平安银行2022年归属于本行股东的净利润是多少亿元？,455.16亿元,000001/ndbg/000001_2023-03-09_2022年年度报告,,"45,516",平安2022年报 主要会计数据
R53,fact,平安银行2022年末的不良贷款率是多少？,1.05%,000001/ndbg/000001_2023-03-09_2022年年度报告,,1.05%,平安2022年报 主要会计数据
R54,fact,平安银行2022年末的拨备覆盖率是多少？,290.28%,000001/ndbg/000001_2023-03-09_2022年年度报告,,290.28%,平安2022年报 主要会计数据
R55,fact,平安银行2022年的加权平均净资产收益率是多少？,12.36%,000001/ndbg/000001_2023-03-09_2022年年度报告,,12.36%,平安2022年报 主要会计数据
R56,fact,平安银行2022年末的资产总额是多少百万元？,"5,321,514百万元",000001/ndbg/000001_2023-03-09_2022年年度报告,,"5,321,514",平安2022年报 主要会计数据
R57,compare,平安银行2022年营业收入比上年同期增长了多少？,增长6.2%,000001/ndbg/000001_2023-03-09_2022年年度报告,,6.2%,平安2022年报 主要会计数据
R58,compare,平安银行2022年归属于本行股东的净利润比上年同期增长了多少？,增长25.3%,000001/ndbg/000001_2023-03-09_2022年年度报告,,25.3%,平安2022年报 主要会计数据
R59,fact,贵州茅台2024年上半年的营业收入是多少亿元？,819.31亿元,600519/bndbg/600519_2024-08-09_贵州茅台2024年半年度报告,,"81,930,977,667.75",茅台2024半年报 主要会计数据
R60,fact,贵州茅台2024年上半年归属于上市公司股东的净利润是多少亿元？,416.96亿元,600519/bndbg/600519_2024-08-09_贵州茅台2024年半年度报告,,"41,695,610,983.37",茅台2024半年报 主要会计数据
R61,fact,贵州茅台2023年上半年的营业收入是多少亿元？,695.76亿元,600519/bndbg/600519_2023-08-03_贵州茅台2023年半年度报告,,"69,576,019,445.77",茅台2023半年报 主要会计数据
R62,fact,贵州茅台2024年上半年营业收入比上年同期增长了多少？,增长17.76%,600519/bndbg/600519_2024-08-09_贵州茅台2024年半年度报告,,17.76,茅台2024半年报 主要会计数据
R63,fact,平安银行2024年上半年的营业收入是多少亿元？,771.32亿元,000001/bndbg/000001_2024-08-16_2024年半年度报告,,"77,132",平安2024半年报 主要会计数据
R64,fact,平安银行2024年上半年归属于本行股东的净利润是多少亿元？,258.79亿元,000001/bndbg/000001_2024-08-16_2024年半年度报告,,"25,879",平安2024半年报 主要会计数据
R65,fact,平安银行2024年6月末的不良贷款率是多少？,1.07%,000001/bndbg/000001_2024-08-16_2024年半年度报告,,1.07%,平安2024半年报 主要会计数据
R66,fact,平安银行2023年上半年的营业收入是多少亿元？,886.10亿元,000001/bndbg/000001_2023-08-24_2023年半年度报告,,"88,610",平安2023半年报 主要会计数据
R67,fact,平安银行2023年上半年归属于本行股东的净利润是多少亿元？,253.87亿元,000001/bndbg/000001_2023-08-24_2023年半年度报告,,"25,387",平安2023半年报 主要会计数据
R68,fact,平安银行2023年6月末的拨备覆盖率是多少？,291.51%,000001/bndbg/000001_2023-08-24_2023年半年度报告,,291.51%,平安2023半年报 主要会计数据
R69,multi_doc,对比贵州茅台2022年和2023年经营活动产生的现金流量净额,2022年366.99亿元，2023年665.93亿元,600519/ndbg/600519_2023-03-31_贵州茅台2022年年度报告;600519/ndbg/600519_2024-04-03_贵州茅台2023年年度报告,,"36,698,595,830.03;66,593,247,721.09",跨期对比
R70,multi_doc,对比贵州茅台2023年上半年和2024年上半年的营业收入,2023年上半年695.76亿元，2024年上半年819.31亿元,600519/bndbg/600519_2023-08-03_贵州茅台2023年半年度报告;600519/bndbg/600519_2024-08-09_贵州茅台2024年半年度报告,,"69,576,019,445.77;81,930,977,667.75",跨期对比
R71,multi_doc,对比平安银行2023年上半年和2024年上半年归属于本行股东的净利润,2023年上半年253.87亿元，2024年上半年258.79亿元,000001/bndbg/000001_2023-08-24_2023年半年度报告;000001/bndbg/000001_2024-08-16_2024年半年度报告,,"25,387;25,879",跨期对比
R72,multi_doc,对比平安银行2022年和2023年末的拨备覆盖率,2022年末290.28%，2023年末277.63%,000001/ndbg/000001_2023-03-09_2022年年度报告;000001/ndbg/000001_2024-03-15_2023年年度报告,,290.28%;277.63%,跨期对比
R73,reject,预测贵州茅台2025年的营业收入会是多少？,应拒答,,,,预测类
R74,reject,贵州茅台2023年度的股价最高点是多少？,应拒答,,,,股价不在知识库
R75,reject,平安银行2024年的分红派息日是哪一天？,应拒答,,,,未披露/不在知识库
